일자,중식계,석식계
2021-01-27,904.6409085411989,363.8138427626647
2021-01-28,745.6263214816769,359.99201840489155
2021-01-29,445.24588608631774,263.0472004471884
2021-02-01,1245.4696771611789,564.3393567418086
2021-02-02,1013.1032673262567,544.0176947528325
2021-02-03,1054.1064633952085,516.5501747832758
2021-02-04,964.5648973737167,552.6520871845577
2021-02-05,697.0814206683182,458.6288565219033
2021-02-08,1242.3192695915693,591.3413113551056
2021-02-09,964.7983148262,536.577275158251
2021-02-10,642.8226333092082,325.90512600913223
2021-02-15,1234.7073183044736,580.537498227611
2021-02-16,1087.6125248575436,584.1278238711079
2021-02-17,1106.653472976294,486.5536933705953
2021-02-18,946.6702908311615,519.0890362934937
2021-02-19,704.7693554973705,426.11150250955285
2021-02-22,1216.2505170418888,626.6858232583863
2021-02-23,1061.125237851529,633.1048309468403
2021-02-24,982.9086264574444,498.3519744583519
2021-02-25,863.6881957348396,555.0901675780899
2021-02-26,573.2464683684741,395.67792228809594
2021-03-02,1083.2032546105277,614.8596636031491
2021-03-03,960.0791050583297,485.75230547974985
2021-03-04,824.1619669854012,591.8869632995332
2021-03-05,600.2485164360744,433.58274358077244
2021-03-08,1187.4175512592788,638.482996713157
2021-03-09,1019.1834602981027,652.6337567445563
2021-03-10,968.6528353482952,477.6948845097837
2021-03-11,840.219847851864,533.9177820497678
2021-03-12,642.8762487638885,397.85362336035325
2021-03-15,1173.5243312413638,608.9792519595021
2021-03-16,901.4801202328979,515.6181048138786
2021-03-17,900.8959144197909,430.0278049593249
2021-03-18,771.2838475227894,455.96227499326943
2021-03-19,494.8958265455223,350.9681704725131
2021-03-22,1121.0127383099934,538.6900595114648
2021-03-23,853.1399352187891,516.0154998794436
2021-03-24,831.5902033554024,423.7650588882078
2021-03-25,694.0120987578966,436.6865313866555
2021-03-26,421.83091370824286,328.14837854366925
2021-03-29,1104.886190399393,532.9815487891441
2021-03-30,922.318294549593,533.671228318908
2021-03-31,883.8363342657875,439.90216603394543
2021-04-01,747.1011290008566,443.41885959040803
2021-04-02,480.5540683791342,349.103121060791
2021-04-05,1129.740253328288,530.9005690225135
2021-04-06,955.6026879278776,542.9387795659127
2021-04-07,921.3950955362355,432.68089821256126
2021-04-08,816.9927620076026,467.70972690321037
2021-04-09,526.1910637552149,376.50317576318116
