일자,중식계,석식계
2021-01-27,853.9623029836565,377.56881752825285
2021-01-28,773.448617314983,441.6080850256179
2021-01-29,515.5625097028534,340.5375328297206
2021-02-01,1266.4246172217142,608.5361298247705
2021-02-02,965.0843222731536,558.1768002226129
2021-02-03,961.4250647671184,503.5824399626831
2021-02-04,939.5286611450291,536.2572839949111
2021-02-05,691.9865867045619,510.7747563531624
2021-02-08,1268.4090423176845,603.9823837936183
2021-02-09,1002.1640593331947,560.8896120904114
2021-02-10,682.6206911234979,328.3398742668609
2021-02-15,1261.9258832596354,611.8939848403064
2021-02-16,1077.3058409666605,577.0035625079823
2021-02-17,952.9995231761314,491.3772680659462
2021-02-18,914.9484252648921,501.7208136190486
2021-02-19,650.1582744214763,485.94355029980744
2021-02-22,1211.9540450252418,606.438757416243
2021-02-23,998.9589435474064,573.6465324530134
2021-02-24,914.76809237637,495.1321840030357
2021-02-25,905.5221274316717,508.7492165009277
2021-02-26,617.9694254788174,428.49010174256165
2021-03-02,993.9322592362627,549.2877565488271
2021-03-03,877.9660019825866,432.46627435280703
2021-03-04,826.2676751225033,483.49170900106657
2021-03-05,615.5870628437856,437.8307787126816
2021-03-08,1203.1445930434222,582.3475632037496
2021-03-09,926.3442024805925,575.6148721759897
2021-03-10,862.5426672611593,403.6006704378231
2021-03-11,868.5463444107014,532.1503804036593
2021-03-12,971.6303606251771,412.8581626008074
2021-03-15,1170.603533102873,585.9815358942244
2021-03-16,952.5439359033616,500.469318302371
2021-03-17,899.384283024512,378.1829455330902
2021-03-18,848.3996795567209,444.58228675924175
2021-03-19,554.4659630335012,396.76887537369544
2021-03-22,1170.0879785008613,562.6624031879849
2021-03-23,926.0307701669911,483.3511719712916
2021-03-24,869.5114526359096,407.3802565146081
2021-03-25,812.0327148252659,513.0643362346492
2021-03-26,510.47555368645374,389.81188845853586
2021-03-29,1171.6663829067943,560.1352931101922
2021-03-30,956.9498143019285,534.186732544946
2021-03-31,895.983368300047,384.85695489090483
2021-04-01,753.1409318820031,466.5990456300837
2021-04-02,542.406439242625,398.857417896091
2021-04-05,1145.6503429065667,524.8774761428393
2021-04-06,937.7497973256754,481.42074381414875
2021-04-07,872.8622700356402,351.9520074842412
2021-04-08,818.564888084968,432.8490719759008
2021-04-09,613.8321895905688,357.20677036226573
